[2022-02-28 10:35:59,982] : Exiting Stem Player
[2022-02-28 10:36:13,894] : Initialized Stem Player
[2022-02-28 10:36:13,955] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:36:18,865] : Hit Key 1
[2022-02-28 10:36:19,231] : Hit Key 2
[2022-02-28 10:36:19,367] : Hit Key 3
[2022-02-28 10:36:19,757] : Hit Key 4
[2022-02-28 10:36:23,667] : Hit Key 4
[2022-02-28 10:36:24,073] : Hit Key 4
[2022-02-28 10:36:24,637] : Hit Key 4
[2022-02-28 10:36:25,173] : Hit Key 4
[2022-02-28 10:36:25,603] : Hit Key 3
[2022-02-28 10:36:26,197] : Hit Key 2
[2022-02-28 10:36:27,215] : Hit Key 1
[2022-02-28 10:36:28,917] : Hit Key 1
[2022-02-28 10:36:32,413] : Hit Key 1
[2022-02-28 10:36:33,623] : Hit Key 1
[2022-02-28 10:36:35,127] : Hit Key 1
[2022-02-28 10:36:36,336] : Triggered sample allstarstems04.wav
[2022-02-28 10:36:39,421] : Hit Key 1
[2022-02-28 10:36:40,843] : Exiting Stem Player
[2022-02-28 10:37:04,833] : Initialized Stem Player
[2022-02-28 10:37:04,893] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:37:06,453] : Hit Key 1
[2022-02-28 10:37:08,668] : Hit Key 1
[2022-02-28 10:37:09,503] : Hit Key 1
[2022-02-28 10:37:10,194] : Hit Key 1
[2022-02-28 10:37:10,871] : Hit Key 1
[2022-02-28 10:37:11,543] : Hit Key 1
[2022-02-28 10:37:12,757] : Exiting Stem Player
[2022-02-28 10:37:47,712] : Initialized Stem Player
[2022-02-28 10:37:47,773] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:37:48,721] : Hit Key 1
[2022-02-28 10:37:49,583] : Hit Key 1
[2022-02-28 10:37:50,288] : Hit Key 1
[2022-02-28 10:37:50,973] : Hit Key 1
